date,Nick,Doug,Peter,Colin,Ryan Hu,Ryan Hi
2025-03-27,2,1,3,3,3.0,4.0
2025-03-28,2,3,4,5,4.0,7.0
2025-03-29,5,5,9,6,7.0,8.0
2025-03-30,8,6,11,8,9.0,11.0
2025-03-31,9,7,14,12,12.0,13.0
2025-04-01,11,8,15,15,15.0,16.0
2025-04-02,13,11,19,16,17.0,19.0
2025-04-03,13,12,20,17,18.0,20.0
2025-04-04,16,13,24,20,19.0,22.0
2025-04-05,19,18,25,22,20.0,24.0
2025-04-06,21,19,28,25,24.0,26.0
2025-04-07,22,21,28,27,26.0,30.0
2025-04-08,25,24,30,31,28.0,31.0
2025-04-09,29,26,32,32,30.0,35.0
2025-04-10,30,26,33,35,31.0,35.0
2025-04-11,33,29,34,35,35.0,38.0
2025-04-12,34,32,39,39,35.0,40.0
2025-04-13,36,35,42,42,37.0,42.0
2025-04-14,37,37,44,42,39.0,45.0
2025-04-15,40,38,47,45,41.0,48.0
2025-04-16,42,42,49,47,42.0,52.0
2025-04-17,44,44,50,49,44.0,53.0
2025-04-18,46,46,54,51,47.0,54.0
2025-04-19,49,48,55,54,50.0,57.0
2025-04-20,53,49,58,58,53.0,58.0
2025-04-21,54,50,59,60,54.0,60.0
2025-04-22,57,53,61,63,56.0,62.0
2025-04-23,60,56,63,64,58.0,65.0
2025-04-24,62,57,65,65,59.0,67.0
2025-04-25,66,59,67,67,60.0,69.0
2025-04-26,68,63,69,69,64.0,71.0
2025-04-27,71,66,72,72,66.0,73.0
2025-04-28,72,69,73,72,68.0,74.0
2025-04-29,75,70,76,75,70.0,76.0
2025-04-30,77,74,77,77,73.0,80.0
2025-05-01,79,76,79,80,75.0,80.0
2025-05-02,81,77,83,83,78.0,82.0
2025-05-03,84,80,85,84,80.0,85.0
2025-05-04,86,83,88,89,81.0,87.0
2025-05-05,88,84,91,90,82.0,88.0
2025-05-06,93,87,91,93,84.0,90.0
2025-05-07,96,90,93,94,86.0,94.0
2025-05-08,97,93,94,97,87.0,94.0
2025-05-09,99,98,96,98,90.0,96.0
2025-05-10,100,98,101,103,93.0,97.0
2025-05-11,101,103,102,103,97.0,101.0
2025-05-12,103,104,103,107,99.0,102.0
2025-05-13,104,105,106,110,101.0,105.0
2025-05-14,107,110,108,113,103.0,107.0
2025-05-15,107,111,109,115,104.0,108.0
2025-05-16,111,115,111,116,106.0,110.0
2025-05-17,113,114,114,120,111.0,112.0
2025-05-18,117,119,116,121,112.0,114.0
2025-05-19,121,119,118,124,114.0,115.0
2025-05-20,123,121,123,125,116.0,117.0
2025-05-21,126,124,123,127,119.0,120.0
2025-05-22,127,127,124,128,120.0,121.0
2025-05-23,129,127,128,129,124.0,125.0
2025-05-24,133,128,131,132,128.0,126.0
2025-05-25,135,133,132,135,130.0,128.0
2025-05-26,136,136,134,135,133.0,131.0
2025-05-27,138,139,137,137,136.0,133.0
2025-05-28,142,141,141,139,137.0,134.0
2025-05-29,143,141,142,141,138.0,134.0
2025-05-30,144,145,144,144,140.0,137.0
2025-05-31,147,147,147,147,142.0,139.0
2025-06-01,149,150,151,150,144.0,140.0
2025-06-02,150,151,153,150,146.0,141.0
2025-06-03,152,154,156,153,148.0,143.0
2025-06-04,153,156,158,157,151.0,145.0
2025-06-05,155,158,161,159,152.0,148.0
2025-06-06,157,160,164,161,154.0,152.0
2025-06-07,159,163,168,161,157.0,155.0
2025-06-08,160,167,169,164,159.0,159.0
2025-06-09,161,168,171,166,160.0,161.0
2025-06-10,163,171,176,167,162.0,163.0
2025-06-11,167,173,178,169,165.0,165.0
2025-06-12,169,174,179,169,168.0,166.0
2025-06-13,172,177,180,172,171.0,168.0
2025-06-14,174,180,182,176,173.0,170.0
2025-06-15,176,183,184,177,177.0,173.0
2025-06-16,176,183,185,177,180.0,176.0
2025-06-17,179,187,187,180,181.0,178.0
2025-06-18,180,188,189,183,184.0,180.0
2025-06-19,183,192,191,185,186.0,183.0
2025-06-20,185,194,194,188,189.0,185.0
2025-06-21,188,195,198,191,191.0,187.0
2025-06-22,191,197,200,193,194.0,190.0
2025-06-23,192,199,201,196,194.0,192.0
2025-06-24,194,202,203,200,195.0,195.0
2025-06-25,197,204,206,201,197.0,199.0
2025-06-26,200,205,208,202,198.0,200.0
2025-06-27,205,207,210,204,200.0,202.0
2025-06-28,206,210,214,205,202.0,206.0
2025-06-29,210,213,216,207,204.0,208.0
2025-06-30,210,214,216,210,206.0,210.0
2025-07-01,212,216,217,212,207.0,214.0
2025-07-02,214,219,220,216,210.0,217.0
2025-07-03,217,220,221,216,212.0,220.0
2025-07-04,221,222,224,218,215.0,221.0
2025-07-05,223,225,226,222,218.0,222.0
2025-07-06,226,227,229,224,222.0,223.0
2025-07-07,227,229,231,227,224.0,223.0
2025-07-08,229,232,234,229,227.0,225.0
2025-07-09,232,234,236,232,230.0,226.0
2025-07-10,232,234,236,232,,
2025-07-10,232,234,236,232,230.0,226.0
2025-07-11,235,241,242,234,234.0,230.0
2025-07-12,237,243,243,238,236.0,234.0
2025-07-13,238,246,245,242,238.0,237.0
2025-07-14,238,246,245,242,238.0,237.0
2025-07-15,238,246,245,242,238.0,237.0
2025-07-16,238,246,245,242,238.0,237.0
2025-07-16,238,246,245,242,238.0,237.0
2025-07-16,238,246,245,242,238.0,237.0
2025-07-16,238,246,245,242,238.0,237.0
2025-07-16,238,246,245,242,238.0,237.0
2025-07-16,238,246,245,242,238.0,237.0
